,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7
Race 1,135,130,131,132,130,131,133
Race 2,134,131,131,129,128,128,129
Race 3,129,128,127,127,130,127,129
Race 4,125,125,126,125,124,125,125
Race 5,133,132,132,132,131,130,132
Race 6,130,130,130,129,129,130,129
Race 7,132,131,133,131,134,134,131
Race 8,127,128,127,130,128,126,128
Race 9,132,130,127,128,126,127,124
Race 10,135,131,131,132,130,131,130
Race 11,132,131,132,131,130,129,129
Race 12,134,130,130,130,131,130,130
Race 13,128,127,128,128,128,129,128
Race 14,132,131,131,131,132,130,130
Race 15,136,129,129,129,129,129,129
Race 16,129,129,129,128,128,129,129
Race 17,134,131,132,131,132,132,132
Race 18,129,129,130,130,133,133,127
Race 19,130,129,129,129,129,129,128
Race 20,131,128,130,128,129,130,130
